metric,baseline_total,baseline_count,post_total,post_count,delta,pct
gpf.apply_build,78.2999999821186,179,32.09999990463257,38,-46.20000007748604,-59.004
gpf.apply_build_coladds,27.700000151991844,62,5.200000077486038,22,-22.500000074505806,-81.227
gpf.delta_eval,57.00000010430813,181,16.200000002980232,38,-40.800000101327896,-71.579
gpf.delta_eval_bump,0.7000000178813934,7,0.20000001788139343,2,-0.5,-71.429
gpf.delta_eval_cols,1.0000000447034836,9,0.20000000298023224,2,-0.8000000417232513,-80.000
gpf.drop_adjust_down,17.59999991953373,110,3.3999999463558197,21,-14.19999997317791,-80.682
gpf.drop_adjust_up,24.000000163912773,125,5.599999837577343,29,-18.40000032633543,-76.667
gpf.drop_calc,23.900000005960464,136,5.500000178813934,25,-18.39999982714653,-76.987
gpf.heap,29.799999684095383,169,10.60000005364418,35,-19.199999630451202,-64.430
gpf.place_drop,0,0,0.7000000029802322,1,0.7000000029802322,
gpf.restore,21.400000005960464,49,2.300000011920929,6,-19.099999994039536,-89.252
gpf.total,371.19999995827675,189,105.59999985992908,38,-265.60000009834766,-71.552
